Date,Leverage,Profitability,Investment,Dividend Yield
4/20/2015,2.3,130.0708104,-0.119196119,3.70%
4/21/2015,2.3,130.0708104,-0.119196119,3.70%
4/22/2015,2.3,130.0708104,-0.119196119,3.70%
4/23/2015,2.3,130.0708104,-0.119196119,3.70%
4/24/2015,2.3,130.0708104,-0.119196119,3.70%
4/25/2015,2.3,130.0708104,-0.119196119,3.70%
4/26/2015,2.3,130.0708104,-0.119196119,3.70%
4/27/2015,2.3,130.0708104,-0.119196119,3.70%
4/28/2015,2.3,130.0708104,-0.119196119,3.70%
4/29/2015,2.3,130.0708104,-0.119196119,3.70%
4/30/2015,2.3,130.0708104,-0.119196119,3.70%
5/1/2015,2.3,130.0708104,-0.119196119,3.70%
5/2/2015,2.3,130.0708104,-0.119196119,3.70%
5/3/2015,2.3,130.0708104,-0.119196119,3.70%
5/4/2015,2.3,130.0708104,-0.119196119,3.70%
5/5/2015,2.3,130.0708104,-0.119196119,3.70%
5/6/2015,2.3,130.0708104,-0.119196119,3.70%
5/7/2015,2.3,130.0708104,-0.119196119,3.70%
5/8/2015,2.3,130.0708104,-0.119196119,3.70%
5/9/2015,2.3,130.0708104,-0.119196119,3.70%
5/10/2015,2.3,130.0708104,-0.119196119,3.70%
5/11/2015,2.3,130.0708104,-0.119196119,3.70%
5/12/2015,2.3,130.0708104,-0.119196119,3.70%
5/13/2015,2.3,130.0708104,-0.119196119,3.70%
5/14/2015,2.3,130.0708104,-0.119196119,3.70%
5/15/2015,2.3,130.0708104,-0.119196119,3.70%
5/16/2015,2.3,130.0708104,-0.119196119,3.70%
5/17/2015,2.3,130.0708104,-0.119196119,3.70%
5/18/2015,2.3,130.0708104,-0.119196119,3.70%
5/19/2015,2.3,130.0708104,-0.119196119,3.70%
5/20/2015,2.3,130.0708104,-0.119196119,3.70%
5/21/2015,2.3,130.0708104,-0.119196119,3.70%
5/22/2015,2.3,130.0708104,-0.119196119,3.70%
5/23/2015,2.3,130.0708104,-0.119196119,3.70%
5/24/2015,2.3,130.0708104,-0.119196119,3.70%
5/25/2015,2.3,130.0708104,-0.119196119,3.70%
5/26/2015,2.3,130.0708104,-0.119196119,3.70%
5/27/2015,2.3,130.0708104,-0.119196119,3.70%
5/28/2015,2.3,130.0708104,-0.119196119,3.70%
5/29/2015,2.3,130.0708104,-0.119196119,3.70%
5/30/2015,2.3,130.0708104,-0.119196119,3.70%
5/31/2015,2.3,130.0708104,-0.119196119,3.70%
6/1/2015,2.3,130.0708104,-0.119196119,3.70%
6/2/2015,2.3,130.0708104,-0.119196119,3.70%
6/3/2015,2.3,130.0708104,-0.119196119,3.70%
6/4/2015,2.3,130.0708104,-0.119196119,3.70%
6/5/2015,2.3,130.0708104,-0.119196119,3.70%
6/6/2015,2.3,130.0708104,-0.119196119,3.70%
6/7/2015,2.3,130.0708104,-0.119196119,3.70%
6/8/2015,2.3,130.0708104,-0.119196119,3.70%
6/9/2015,2.3,130.0708104,-0.119196119,3.70%
6/10/2015,2.3,130.0708104,-0.119196119,3.70%
6/11/2015,2.3,130.0708104,-0.119196119,3.70%
6/12/2015,2.3,130.0708104,-0.119196119,3.70%
6/13/2015,2.3,130.0708104,-0.119196119,3.70%
6/14/2015,2.3,130.0708104,-0.119196119,3.70%
6/15/2015,2.3,130.0708104,-0.119196119,3.70%
6/16/2015,2.3,130.0708104,-0.119196119,3.70%
6/17/2015,2.3,130.0708104,-0.119196119,3.70%
6/18/2015,2.3,130.0708104,-0.119196119,3.70%
6/19/2015,2.3,130.0708104,-0.119196119,3.70%
6/20/2015,2.3,130.0708104,-0.119196119,3.70%
6/21/2015,2.3,130.0708104,-0.119196119,3.70%
