,Leverage,Profitability,Investment,Dividend Yield
4/24/2015,3.2,0.047216841,0.716661124,0.80%
4/25/2015,3.2,0.047216841,0.716661124,0.80%
4/26/2015,3.2,0.047216841,0.716661124,0.80%
4/27/2015,3.2,0.047216841,0.716661124,0.80%
4/28/2015,3.2,0.047216841,0.716661124,0.80%
4/29/2015,3.2,0.047216841,0.716661124,0.80%
4/30/2015,3.2,0.047216841,0.716661124,0.80%
5/1/2015,3.2,0.047216841,0.716661124,0.80%
5/2/2015,3.2,0.047216841,0.716661124,0.80%
5/3/2015,3.2,0.047216841,0.716661124,0.80%
5/4/2015,3.2,0.047216841,0.716661124,0.80%
5/5/2015,3.2,0.047216841,0.716661124,0.80%
5/6/2015,3.2,0.047216841,0.716661124,0.80%
5/7/2015,3.2,0.047216841,0.716661124,0.80%
5/8/2015,3.2,0.047216841,0.716661124,0.80%
5/9/2015,3.2,0.047216841,0.716661124,0.80%
5/10/2015,3.2,0.047216841,0.716661124,0.80%
5/11/2015,3.2,0.047216841,0.716661124,0.80%
5/12/2015,3.2,0.047216841,0.716661124,0.80%
5/13/2015,3.2,0.047216841,0.716661124,0.80%
5/14/2015,3.2,0.047216841,0.716661124,0.80%
5/15/2015,3.2,0.047216841,0.716661124,0.80%
5/16/2015,3.2,0.047216841,0.716661124,0.80%
5/17/2015,3.2,0.047216841,0.716661124,0.80%
5/18/2015,3.2,0.047216841,0.716661124,0.80%
5/19/2015,3.2,0.047216841,0.716661124,0.80%
5/20/2015,3.2,0.047216841,0.716661124,0.80%
5/21/2015,3.2,0.047216841,0.716661124,0.80%
5/22/2015,3.2,0.047216841,0.716661124,0.80%
5/23/2015,3.2,0.047216841,0.716661124,0.80%
5/24/2015,3.2,0.047216841,0.716661124,0.80%
5/25/2015,3.2,0.047216841,0.716661124,0.80%
5/26/2015,3.2,0.047216841,0.716661124,0.80%
5/27/2015,3.2,0.047216841,0.716661124,0.80%
5/28/2015,3.2,0.047216841,0.716661124,0.80%
5/29/2015,3.2,0.047216841,0.716661124,0.80%
5/30/2015,3.2,0.047216841,0.716661124,0.80%
5/31/2015,3.2,0.047216841,0.716661124,0.80%
6/1/2015,3.2,0.047216841,0.716661124,0.80%
6/2/2015,3.2,0.047216841,0.716661124,0.80%
6/3/2015,3.2,0.047216841,0.716661124,0.80%
6/4/2015,3.2,0.047216841,0.716661124,0.80%
6/5/2015,3.2,0.047216841,0.716661124,0.80%
6/6/2015,3.2,0.047216841,0.716661124,0.80%
6/7/2015,3.2,0.047216841,0.716661124,0.80%
6/8/2015,3.2,0.047216841,0.716661124,0.80%
6/9/2015,3.2,0.047216841,0.716661124,0.80%
6/10/2015,3.2,0.047216841,0.716661124,0.80%
6/11/2015,3.2,0.047216841,0.716661124,0.80%
6/12/2015,3.2,0.047216841,0.716661124,0.80%
6/13/2015,3.2,0.047216841,0.716661124,0.80%
6/14/2015,3.2,0.047216841,0.716661124,0.80%
6/15/2015,3.2,0.047216841,0.716661124,0.80%
6/16/2015,3.2,0.047216841,0.716661124,0.80%
6/17/2015,3.2,0.047216841,0.716661124,0.80%
6/18/2015,3.2,0.047216841,0.716661124,0.80%
6/19/2015,3.2,0.047216841,0.716661124,0.80%
6/20/2015,3.2,0.047216841,0.716661124,0.80%
6/21/2015,3.2,0.047216841,0.716661124,0.80%
6/22/2015,3.2,0.047216841,0.716661124,0.80%
6/23/2015,3.2,0.047216841,0.716661124,0.80%
6/24/2015,3.2,0.047216841,0.716661124,0.80%
6/25/2015,3.2,0.047216841,0.716661124,0.80%
6/26/2015,3.2,0.047216841,0.716661124,0.80%
6/27/2015,3.2,0.047216841,0.716661124,0.80%
6/28/2015,3.2,0.047216841,0.716661124,0.80%
6/29/2015,3.2,0.047216841,0.716661124,0.80%
6/30/2015,3.2,0.047216841,0.716661124,0.80%
7/1/2015,3.2,0.047216841,0.716661124,0.80%
7/2/2015,3.2,0.047216841,0.716661124,0.80%
7/3/2015,3.2,0.047216841,0.716661124,0.80%
7/4/2015,3.2,0.047216841,0.716661124,0.80%
7/5/2015,3.2,0.047216841,0.716661124,0.80%
7/6/2015,3.2,0.047216841,0.716661124,0.80%
7/7/2015,3.2,0.047216841,0.716661124,0.80%
7/8/2015,3.2,0.047216841,0.716661124,0.80%
7/9/2015,3.2,0.047216841,0.716661124,0.80%
7/10/2015,3.2,0.047216841,0.716661124,0.80%
7/11/2015,3.2,0.047216841,0.716661124,0.80%
7/12/2015,3.2,0.047216841,0.716661124,0.80%
7/13/2015,3.2,0.047216841,0.716661124,0.80%
7/14/2015,3.2,0.047216841,0.716661124,0.80%
7/15/2015,3.2,0.047216841,0.716661124,0.80%
7/16/2015,3.2,0.047216841,0.716661124,0.80%
7/17/2015,3.2,0.047216841,0.716661124,0.80%
7/18/2015,3.2,0.047216841,0.716661124,0.80%
7/19/2015,3.2,0.047216841,0.716661124,0.80%
7/20/2015,3.2,0.047216841,0.716661124,0.80%
7/21/2015,3.2,0.047216841,0.716661124,0.80%
7/22/2015,3.2,0.047216841,0.716661124,0.80%
7/23/2015,3.2,0.047216841,0.716661124,0.80%
7/24/2015,3.2,0.047216841,0.716661124,0.80%
7/25/2015,3.2,0.047216841,0.716661124,0.80%
7/26/2015,3.2,0.047216841,0.716661124,0.80%
7/27/2015,3.2,0.047216841,0.716661124,0.80%
7/28/2015,3.2,0.047216841,0.716661124,0.80%
7/29/2015,3.2,0.047216841,0.716661124,0.80%
7/30/2015,3.2,0.047216841,0.716661124,0.80%
7/31/2015,3.2,0.047216841,0.716661124,0.80%
8/1/2015,3.2,0.047216841,0.716661124,0.80%
8/2/2015,3.2,0.047216841,0.716661124,0.80%
8/3/2015,3.2,0.047216841,0.716661124,0.80%
8/4/2015,3.2,0.047216841,0.716661124,0.80%
8/5/2015,3.2,0.047216841,0.716661124,0.80%
8/6/2015,3.2,0.047216841,0.716661124,0.80%
8/7/2015,3.2,0.047216841,0.716661124,0.80%
8/8/2015,3.2,0.047216841,0.716661124,0.80%
8/9/2015,3.2,0.047216841,0.716661124,0.80%
8/10/2015,3.2,0.047216841,0.716661124,0.80%
8/11/2015,3.2,0.047216841,0.716661124,0.80%
8/12/2015,3.2,0.047216841,0.716661124,0.80%
8/13/2015,3.2,0.047216841,0.716661124,0.80%
8/14/2015,3.2,0.047216841,0.716661124,0.80%
8/15/2015,3.2,0.047216841,0.716661124,0.80%
8/16/2015,3.2,0.047216841,0.716661124,0.80%
8/17/2015,3.2,0.047216841,0.716661124,0.80%
8/18/2015,3.2,0.047216841,0.716661124,0.80%
8/19/2015,3.2,0.047216841,0.716661124,0.80%
8/20/2015,3.2,0.047216841,0.716661124,0.80%
8/21/2015,3.2,0.047216841,0.716661124,0.80%
8/22/2015,3.2,0.047216841,0.716661124,0.80%
8/23/2015,3.2,0.047216841,0.716661124,0.80%
8/24/2015,3.2,0.047216841,0.716661124,0.80%
8/25/2015,3.2,0.047216841,0.716661124,0.80%
8/26/2015,3.2,0.047216841,0.716661124,0.80%
8/27/2015,3.2,0.047216841,0.716661124,0.80%
8/28/2015,3.2,0.047216841,0.716661124,0.80%
8/29/2015,3.2,0.047216841,0.716661124,0.80%
8/30/2015,3.2,0.047216841,0.716661124,0.80%
8/31/2015,3.2,0.047216841,0.716661124,0.80%
9/1/2015,3.2,0.047216841,0.716661124,0.80%
9/2/2015,3.2,0.047216841,0.716661124,0.80%
9/3/2015,3.2,0.047216841,0.716661124,0.80%
9/4/2015,3.2,0.047216841,0.716661124,0.80%
9/5/2015,3.2,0.047216841,0.716661124,0.80%
9/6/2015,3.2,0.047216841,0.716661124,0.80%
9/7/2015,3.2,0.047216841,0.716661124,0.80%
9/8/2015,3.2,0.047216841,0.716661124,0.80%
9/9/2015,3.2,0.047216841,0.716661124,0.80%
9/10/2015,3.2,0.047216841,0.716661124,0.80%
9/11/2015,3.2,0.047216841,0.716661124,0.80%
9/12/2015,3.2,0.047216841,0.716661124,0.80%
9/13/2015,3.2,0.047216841,0.716661124,0.80%
9/14/2015,3.2,0.047216841,0.716661124,0.80%
9/15/2015,3.2,0.047216841,0.716661124,0.80%
9/16/2015,3.2,0.047216841,0.716661124,0.80%
9/17/2015,3.2,0.047216841,0.716661124,0.80%
9/18/2015,3.2,0.047216841,0.716661124,0.80%
9/19/2015,3.2,0.047216841,0.716661124,0.80%
9/20/2015,3.2,0.047216841,0.716661124,0.80%
9/21/2015,3.2,0.047216841,0.716661124,0.80%
9/22/2015,3.2,0.047216841,0.716661124,0.80%
9/23/2015,3.2,0.047216841,0.716661124,0.80%
9/24/2015,3.2,0.047216841,0.716661124,0.80%
9/25/2015,3.2,0.047216841,0.716661124,0.80%
9/26/2015,3.2,0.047216841,0.716661124,0.80%
9/27/2015,3.2,0.047216841,0.716661124,0.80%
9/28/2015,3.2,0.047216841,0.716661124,0.80%
9/29/2015,3.2,0.047216841,0.716661124,0.80%
9/30/2015,3.2,0.047216841,0.716661124,0.80%
10/1/2015,3.2,0.047216841,0.716661124,0.80%
10/2/2015,3.2,0.047216841,0.716661124,0.80%
10/3/2015,3.2,0.047216841,0.716661124,0.80%
10/4/2015,3.2,0.047216841,0.716661124,0.80%
10/5/2015,3.2,0.047216841,0.716661124,0.80%
10/6/2015,3.2,0.047216841,0.716661124,0.80%
10/7/2015,3.2,0.047216841,0.716661124,0.80%
10/8/2015,3.2,0.047216841,0.716661124,0.80%
10/9/2015,3.2,0.047216841,0.716661124,0.80%
10/10/2015,3.2,0.047216841,0.716661124,0.80%
10/11/2015,3.2,0.047216841,0.716661124,0.80%
10/12/2015,3.2,0.047216841,0.716661124,0.80%
10/13/2015,3.2,0.047216841,0.716661124,0.80%
10/14/2015,3.2,0.047216841,0.716661124,0.80%
10/15/2015,3.2,0.047216841,0.716661124,0.80%
10/16/2015,3.2,0.047216841,0.716661124,0.80%
10/17/2015,3.2,0.047216841,0.716661124,0.80%
10/18/2015,3.2,0.047216841,0.716661124,0.80%
10/19/2015,3.2,0.047216841,0.716661124,0.80%
10/20/2015,3.2,0.047216841,0.716661124,0.80%
10/21/2015,3.2,0.047216841,0.716661124,0.80%
10/22/2015,3.2,0.047216841,0.716661124,0.80%
10/23/2015,3.2,0.047216841,0.716661124,0.80%
10/24/2015,3.2,0.047216841,0.716661124,0.80%
10/25/2015,3.2,0.047216841,0.716661124,0.80%
10/26/2015,3.2,0.047216841,0.716661124,0.80%
10/27/2015,3.2,0.047216841,0.716661124,0.80%
10/28/2015,3.2,0.047216841,0.716661124,0.80%
10/29/2015,3.2,0.047216841,0.716661124,0.80%
10/30/2015,3.2,0.047216841,0.716661124,0.80%
10/31/2015,3.2,0.047216841,0.716661124,0.80%
11/1/2015,3.2,0.047216841,0.716661124,0.80%
11/2/2015,3.2,0.047216841,0.716661124,0.80%
11/3/2015,3.2,0.047216841,0.716661124,0.80%
11/4/2015,3.2,0.047216841,0.716661124,0.80%
11/5/2015,3.2,0.047216841,0.716661124,0.80%
11/6/2015,3.2,0.047216841,0.716661124,0.80%
11/7/2015,3.2,0.047216841,0.716661124,0.80%
11/8/2015,3.2,0.047216841,0.716661124,0.80%
11/9/2015,3.2,0.047216841,0.716661124,0.80%
11/10/2015,3.2,0.047216841,0.716661124,0.80%
11/11/2015,3.2,0.047216841,0.716661124,0.80%
11/12/2015,3.2,0.047216841,0.716661124,0.80%
11/13/2015,3.2,0.047216841,0.716661124,0.80%
11/14/2015,3.2,0.047216841,0.716661124,0.80%
11/15/2015,3.2,0.047216841,0.716661124,0.80%
11/16/2015,3.2,0.047216841,0.716661124,0.80%
11/17/2015,3.2,0.047216841,0.716661124,0.80%
11/18/2015,3.2,0.047216841,0.716661124,0.80%
11/19/2015,3.2,0.047216841,0.716661124,0.80%
11/20/2015,3.2,0.047216841,0.716661124,0.80%
11/21/2015,3.2,0.047216841,0.716661124,0.80%
11/22/2015,3.2,0.047216841,0.716661124,0.80%
11/23/2015,3.2,0.047216841,0.716661124,0.80%
11/24/2015,3.2,0.047216841,0.716661124,0.80%
11/25/2015,3.2,0.047216841,0.716661124,0.80%
11/26/2015,3.2,0.047216841,0.716661124,0.80%
11/27/2015,3.2,0.047216841,0.716661124,0.80%
11/28/2015,3.2,0.047216841,0.716661124,0.80%
11/29/2015,3.2,0.047216841,0.716661124,0.80%
11/30/2015,3.2,0.047216841,0.716661124,0.80%
12/1/2015,3.2,0.047216841,0.716661124,0.80%
12/2/2015,3.2,0.047216841,0.716661124,0.80%
12/3/2015,3.2,0.047216841,0.716661124,0.80%
12/4/2015,3.2,0.047216841,0.716661124,0.80%
12/5/2015,3.2,0.047216841,0.716661124,0.80%
12/6/2015,3.2,0.047216841,0.716661124,0.80%
12/7/2015,3.2,0.047216841,0.716661124,0.80%
12/8/2015,3.2,0.047216841,0.716661124,0.80%
12/9/2015,3.2,0.047216841,0.716661124,0.80%
12/10/2015,3.2,0.047216841,0.716661124,0.80%
12/11/2015,3.2,0.047216841,0.716661124,0.80%
12/12/2015,3.2,0.047216841,0.716661124,0.80%
12/13/2015,3.2,0.047216841,0.716661124,0.80%
12/14/2015,3.2,0.047216841,0.716661124,0.80%
12/15/2015,3.2,0.047216841,0.716661124,0.80%
12/16/2015,3.2,0.047216841,0.716661124,0.80%
12/17/2015,3.2,0.047216841,0.716661124,0.80%
12/18/2015,3.2,0.047216841,0.716661124,0.80%
12/19/2015,3.2,0.047216841,0.716661124,0.80%
12/20/2015,3.2,0.047216841,0.716661124,0.80%
12/21/2015,3.2,0.047216841,0.716661124,0.80%
12/22/2015,3.2,0.047216841,0.716661124,0.80%
12/23/2015,3.2,0.047216841,0.716661124,0.80%
12/24/2015,3.2,0.047216841,0.716661124,0.80%
12/25/2015,3.2,0.047216841,0.716661124,0.80%
12/26/2015,3.2,0.047216841,0.716661124,0.80%
12/27/2015,3.2,0.047216841,0.716661124,0.80%
12/28/2015,3.2,0.047216841,0.716661124,0.80%
12/29/2015,3.2,0.047216841,0.716661124,0.80%
12/30/2015,3.2,0.047216841,0.716661124,0.80%
12/31/2015,3.2,0.047216841,0.716661124,0.80%
1/1/2016,3.8,0.068069464,0.018855741,1.00%
1/2/2016,3.8,0.068069464,0.018855741,1.00%
1/3/2016,3.8,0.068069464,0.018855741,1.00%
