Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
