name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,03/31/2016,03/31/2015
MarketCap,"21,554,953,604","35,249,322,746","16,613,225,848","10,927,707,620","10,126,301,320","7,124,903,008","11,755,723,062"
EnterpriseValue,"24,738,742,263","37,757,668,278","19,044,966,887","10,066,672,629","9,443,187,482","6,221,703,752","11,085,785,118"
PeRatio,"34.401","94.918",,,"34.641",,"6.395"
PsRatio,"2.188","4.468",,,"2.192",,"5.355"
PbRatio,"2.533","6.316",,,"2.376",,"2.992"
EnterprisesValueRevenueRatio,"0.026","0.048","0.028","0.016","0.016","0.012","0.043"
EnterprisesValueEBITDARatio,"0.192","0.304","0.172","0.091","0.09","0.062","0.054"
