Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,1.5133797425310087,0.2653257525044053
2015-02-18,1.5133797425310087,0.1746370994691077
2015-02-19,1.5133797425310087,0.11810019727804626
2015-02-20,1.5133797425310087,0.17335058587368346
2015-02-23,1.5133797425310087,0.35409524700647055
2015-02-24,1.5133797425310087,0.26891774923920103
2015-02-25,1.5133797425310087,0.21358260692757355
2015-02-26,1.5133797425310087,0.1992064710982189
2015-02-27,1.5133797425310087,0.1770543760955304
2015-03-02,1.5133797425310087,0.027139050272634937
2015-03-03,1.5133797425310087,0.21700310818910826
2015-03-04,0.04838729742059534,0.036866978892478884
2015-03-05,0.0,0.0
2015-03-06,0.36869723969688806,-1.0843458942262922
2015-03-09,0.36869723969688806,-1.1225886492560206
2015-03-10,0.36869723969688806,-0.9258374307568575
2015-03-11,0.36869723969688806,-1.0425115802375284
2015-03-12,0.36869723969688806,-1.130483171000208
2015-03-13,0.36869723969688806,-1.1051992824335897
2015-03-16,0.36869723969688806,-1.1955658884218539
2015-03-17,0.36869723969688806,-1.235005271494581
2015-03-18,0.36869723969688806,-1.2776191371773387
2015-03-19,0.36869723969688806,-1.2689443794937818
2015-03-20,0.36869723969688806,-1.3174599766455237
2015-03-23,0.36869723969688806,-1.324560509125543
2015-03-24,0.36869723969688806,-1.3090108187611964
2015-03-25,0.36869723969688806,-1.1424075351472647
2015-03-26,0.36869723969688806,-1.1312481471866753
2015-03-27,0.36869723969688806,-1.1816434837486882
2015-03-30,0.36869723969688806,-1.101424568619202
2015-03-31,0.36869723969688806,-1.0315894802987113
2015-04-01,0.37073134968064086,-1.0009263522600402
2015-04-02,0.37073134968064086,-1.0004402257877538
2015-04-06,0.3705509830908574,-0.975896264990872
2015-04-07,0.3705509830908574,-0.9675061920693294
2015-04-08,0.3705509830908574,-0.9665401512500552
2015-04-09,0.3705509830908574,-0.9655403718504159
2015-04-10,0.3705509830908574,-0.9632142756642033
2015-04-13,0.38460586760020476,-0.8794769228621909
2015-04-14,0.38460586760020476,-0.8914658811184951
2015-04-15,0.38460586760020476,-0.9027282020913147
2015-04-16,0.38460586760020476,-0.9188183231341462
2015-04-17,0.38460586760020476,-0.8351705989843833
2015-04-20,0.09640164677500469,0.1289567660252779
2015-04-21,0.09640164677500469,0.1261171414884266
2015-04-22,0.09640164677500469,0.16647464518000646
2015-04-23,0.09640164677500469,0.17157750012655845
2015-04-24,0.09640164677500469,0.1798542700820551
2015-04-27,0.09640164677500469,0.184974346640136
2015-04-28,0.09640164677500469,0.19935662738360538
2015-04-29,0.09640164677500469,0.1965527831571701
2015-04-30,0.09640164677500469,0.17957495874593005
2015-05-01,0.09640164677500469,0.18052148940924886
2015-05-04,0.09640164677500469,0.18053777456901876
2015-05-05,0.09640164677500469,0.15432863739779373
2015-05-06,0.09640164677500469,0.1574137472029186
2015-05-07,0.09640164677500469,0.20767355120253012
2015-05-08,0.09640164677500469,0.19891446488245695
2015-05-11,0.09640164677500469,0.18738883883689295
2015-05-12,0.09640164677500469,0.19139530624603387
2015-05-13,0.09640164677500469,0.2167464929149379
2015-05-14,0.09302854904232903,0.17860398001526107
2015-05-15,0.09302854904232903,0.17766917030829704
2015-05-18,0.09152410604506786,0.1540099674078765
2015-05-19,0.09152410604506786,0.15780225466675601
2015-05-20,0.15664296978210213,0.21638131902802218
2015-05-21,0.15664296978210213,0.21456438872869737
2015-05-22,0.15664296978210213,0.19866791526337083
