Date,Trailing Volatility,Trailing Beta
2016-11-23,0.4856480195206496,-1.142767840649517
2016-11-25,0.4386924852401544,-1.4476410347984576
2016-11-28,0.44054427614534714,-1.3177323539002748
2016-11-29,0.4318244534010148,-1.2016622584742773
2016-11-30,0.4259106233623311,-1.3070095161739488
2016-12-01,0.4100819377693865,-1.424429239337519
2016-12-02,0.4149914948929002,-1.4221063278048942
2016-12-05,0.41680854041782983,-1.5188605719282804
2016-12-06,0.4183237116516976,-1.5722418840859307
2016-12-07,0.41785319302106116,-1.4545198441040377
2016-12-08,0.41696200408275585,-1.508775066590328
2016-12-09,0.4159762203346537,-1.579701370472581
2016-12-12,0.41664246411351874,-1.54247952353563
2016-12-13,0.4456835138396689,-1.7377722086242882
2016-12-14,0.4486477261222011,-1.5337242175670085
2016-12-15,0.46954067029277125,-1.626934786786938
2016-12-16,0.45291176323486065,-1.4265888133330884
2016-12-19,0.45572289177889075,-1.4419596160441848
2016-12-20,0.46154837690560874,-1.4830918006274658
2016-12-21,0.46150760045463607,-1.5262787481051499
2016-12-22,0.4597431136092065,-1.874303182527694
2016-12-23,0.4573371039329747,-1.8502452097487179
2016-12-27,0.45115695272275164,-1.7448964590438052
2016-12-28,0.4554645027061813,-1.2424261409379864
2016-12-29,0.4567884773999224,-1.3363452887609784
2016-12-30,0.37352028706999313,-0.9660433882285298
2017-01-03,0.3295223327636932,-0.4828435398861993
2017-01-04,0.3142651451120643,-0.41409602140929636
2017-01-05,0.31619561661313345,-0.454837737273994
2017-01-06,0.3250352279253071,-0.5463544529620125
2017-01-09,0.3207755833285895,-0.6266332002286108
2017-01-10,0.30965795804498997,-0.7521157866062033
2017-01-11,0.3129635425929416,-0.8423824201970378
2017-01-12,0.31820874804385185,-0.7314410911749367
2017-01-13,0.34782053895145587,-0.7182547922738111
2017-01-17,0.3421217198612403,-0.5839951957146288
2017-01-18,0.3333690558718894,-0.5858917966473548
2017-01-19,0.3306857954580826,-0.4225948693590344
