Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.31742772501018995,0.9508434914590029
2015-02-18,0.3010319053640856,0.8290855707678259
2015-02-19,0.30150937980529857,0.8474359468757525
2015-02-20,0.30071940712671935,0.8512223945522994
2015-02-23,0.29183090765347397,0.6892232704992759
2015-02-24,0.29365481939432175,0.6841819692026838
2015-02-25,0.2945031312589269,0.6016816383503785
2015-02-26,0.2950643114860994,0.6026804855009696
2015-02-27,0.29998643937858,0.6304983459468645
2015-03-02,0.283700331560186,0.4543595450775964
2015-03-03,0.2808195196728055,0.5950487895428372
2015-03-04,0.2773918302831994,0.618642955752978
2015-03-05,0.2847322122392151,0.6212157612775864
2015-03-06,0.2777410583909784,0.4599451668607646
2015-03-09,0.277724048798192,0.4698385990266552
2015-03-10,0.28678939779625795,0.616409915408264
2015-03-11,0.2709621861634044,0.41395920337611847
2015-03-12,0.22513000719467272,0.9485838421594459
2015-03-13,0.20977099329483814,0.8535389274648872
2015-03-16,0.20589359454433925,0.8047860139171786
2015-03-17,0.20805868561484436,0.7468020791566663
2015-03-18,0.2095164147926434,0.8627597731588205
2015-03-19,0.21104168965133183,0.9112869343558364
2015-03-20,0.21530767377860818,0.9145356480865245
2015-03-23,0.21452483932092362,0.8763794053528661
2015-03-24,0.21490612844443538,0.9121487832300227
2015-03-25,0.2233185594463898,0.9873122958190461
2015-03-26,0.21348092531346913,0.9635391627086975
2015-03-27,0.21114383952989113,0.9215618075606924
2015-03-30,0.22381725356391932,1.02943672893085
2015-03-31,0.22732167763623187,1.0559846226147145
2015-04-01,0.22613016099870442,1.0484461085329444
2015-04-02,0.22783483192732162,1.0610730064796368
2015-04-06,0.23171154520658482,1.0927920429345086
2015-04-07,0.21817340648547504,1.0948573074581693
2015-04-08,0.21780544270256094,1.0978084585544674
2015-04-09,0.20705558987804132,1.102184160895994
2015-04-10,0.2038259978512514,1.104702608745806
2015-04-13,0.19935797725684498,1.0767528437659861
2015-04-14,0.19904269522642035,1.0753692629730076
2015-04-15,0.19930881776558793,1.0889794498967613
2015-04-16,0.19897518374557882,1.08668904842481
2015-04-17,0.19582605551395146,1.0891491588383528
2015-04-20,0.20704522404430858,1.2936710520926689
2015-04-21,0.20735122564982117,1.2987886431406381
2015-04-22,0.20125284081872938,1.3265619459265547
2015-04-23,0.19354386859729095,1.2957574508061072
2015-04-24,0.18770659126678962,1.2881146941255508
2015-04-27,0.19187565609670948,1.2018266650254372
2015-04-28,0.19709020329002427,1.2255662445265492
2015-04-29,0.19709735760660224,1.3255334293082535
2015-04-30,0.20986535173342385,1.4979974516289833
2015-05-01,0.2272931990614243,1.6243649527344814
2015-05-04,0.2240670816347467,1.6785063769089967
2015-05-05,0.23203013074386825,1.7294739894502877
2015-05-06,0.2324303259247328,1.7506928212003605
2015-05-07,0.21923658345190358,1.7311492095180046
2015-05-08,0.22486284446472066,1.7268589474784368
2015-05-11,0.22572114380393205,1.7448920616238663
2015-05-12,0.21380118496300407,1.6920867080470239
2015-05-13,0.20882528500396436,1.691407919605356
2015-05-14,0.21891809959985697,1.762703782699523
2015-05-15,0.21794486093725082,1.7559315531932658
2015-05-18,0.21530994296650266,1.741634187661756
2015-05-19,0.21269570700272586,1.7240628535959885
2015-05-20,0.21232387022228996,1.7423205300876208
2015-05-21,0.2131300767385691,1.7527042871755916
2015-05-22,0.21406055869828947,1.74278966499029
2015-05-26,0.2245160109967392,1.8018106695813163
