,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
0,2015-01-02,,,,,,
1,2015-01-05,,,,,,
2,2015-01-06,,,,,,
3,2015-01-07,,,,,,
4,2015-01-08,,,,,,
5,2015-01-09,,,,,,
6,2015-01-12,,,,,,
7,2015-01-13,,,,,,
8,2015-01-14,,,,,,
9,2015-01-15,,,,,,
10,2015-01-16,,,,,,
11,2015-01-20,,,,,,
12,2015-01-21,,,,,,
13,2015-01-22,,,,,,
14,2015-01-23,,,,,,
15,2015-01-26,,,,,,
16,2015-01-27,,,,,,
17,2015-01-28,,,,,,
18,2015-01-29,,,,,,
19,2015-01-30,,,,,,
20,2015-02-02,,,,,,
21,2015-02-03,,,,,,
22,2015-02-04,,,,,,
23,2015-02-05,,,,,,
24,2015-02-06,,,,,,
25,2015-02-09,,,,,,
26,2015-02-10,,,,,,
27,2015-02-11,,,,,,
28,2015-02-12,,,,,,
29,2015-02-13,,,,,,
30,2015-02-17,0.4854587477476316,1.4625419836091362,,,,
31,2015-02-18,0.4760340987183435,1.4268262111989836,,,,
32,2015-02-19,0.463613289379007,1.327633825988446,,,,
33,2015-02-20,0.4689361591738381,1.3498887969212194,,,,
34,2015-02-23,0.4676807909417925,1.4208240074304004,,,,
35,2015-02-24,0.4637011364947082,1.3724638486408656,,,,
36,2015-02-25,0.4429384551771466,1.1255900961100147,,,,
37,2015-02-26,0.4539919523398565,1.0141731963728016,,,,
38,2015-02-27,0.4708019611612396,1.148764670880978,,,,
39,2015-03-02,0.4630080027452183,0.9912157546408988,,,,
40,2015-03-03,0.4598172093277979,0.934417210679514,,,,
41,2015-03-04,0.4577874312672454,0.9737472328573784,,,,
42,2015-03-05,0.4578199854950823,0.958253332015762,,,,
43,2015-03-06,0.4667033071377701,1.4161442938178244,,,,
44,2015-03-09,0.453138381002422,1.2440019861574445,,,,
45,2015-03-10,0.4572030954217981,1.2551519133139002,,,,
46,2015-03-11,0.4520015119826976,1.555966852465056,,,,
47,2015-03-12,0.4418145228565889,1.196687877169168,,,,
48,2015-03-13,0.4361468617486616,1.4204730789390845,,,,
49,2015-03-16,0.4375417977470794,1.425247218502686,,,,
50,2015-03-17,0.4101492790015176,1.160600453305741,,,,
51,2015-03-18,0.4404597164203763,1.4386752104866776,,,,
52,2015-03-19,0.441635281876023,1.4519781775552183,,,,
53,2015-03-20,0.4441536656856535,1.4903972737123,,,,
54,2015-03-23,0.4428872450650635,1.442653570977403,,,,
55,2015-03-24,0.442585634809034,1.3743614574355758,,,,
56,2015-03-25,0.4457140218219344,1.1465955093373312,,,,
57,2015-03-26,0.4445771634019894,1.16961362226418,,,,
58,2015-03-27,0.3970262485248081,0.7807549202571641,,,,
59,2015-03-30,0.3491676238449901,0.6771785717607732,,,,
60,2015-03-31,0.3490952666843101,0.6671252157294691,,,,
61,2015-04-01,0.3490602980085405,0.6643933515748723,,,,
62,2015-04-02,0.3501353812772951,0.6805976892432847,,,,
63,2015-04-06,0.343270689387367,0.8098387774199503,,,,
64,2015-04-07,0.3426743593041795,0.8197719191083074,,,,
65,2015-04-08,0.3443318931325296,0.8019735977932063,,,,
66,2015-04-09,0.3394738983215007,0.8587137942598418,,,,
67,2015-04-10,0.3140847901369444,0.8282598013204374,,,,
68,2015-04-13,0.2943986656993515,0.7780236553233586,,,,
69,2015-04-14,0.2964392737899751,0.8450954344684902,,,,
70,2015-04-15,0.3270370030514847,0.9600009156568098,,,,
71,2015-04-16,0.3257053279969288,0.9368777727480876,,,,
72,2015-04-17,0.3391978757420088,1.0734052962694642,,,,
73,2015-04-20,0.323772856829873,0.8966776694077435,,,,
74,2015-04-21,0.3363466480547895,0.9732618417409464,,,,
75,2015-04-22,0.3298143855392771,0.8933804206076869,,,,
76,2015-04-23,0.3288087783711635,0.9214657427584668,,,,
77,2015-04-24,0.3290997807191145,1.1469983060884057,,,,
78,2015-04-27,0.3260027934537418,1.0532327787854343,,,,
79,2015-04-28,0.3217317177188269,1.409671826141696,,,,
80,2015-04-29,0.3555934083894013,1.16843056910945,,,,
81,2015-04-30,0.3173166610561264,0.6383298917966972,,,,
82,2015-05-01,0.3077360831441093,0.3526273633850881,,,,
83,2015-05-04,0.3170858455944006,0.2206680581971333,,,,
84,2015-05-05,0.3409078514227476,0.58876899414302,,,,
85,2015-05-06,0.3499482251209803,0.711809230986448,,,,
86,2015-05-07,0.3710300612740438,1.0360806827977282,,,,
87,2015-05-08,0.3831189289252878,1.2290994104926922,,,,
88,2015-05-11,0.3933204326298006,1.3312332040883554,,,,
89,2015-05-12,0.3892722621474027,1.2095824074747346,,,,
90,2015-05-13,0.3901155468489762,1.310159317337253,,,,
91,2015-05-14,0.3955483452021106,1.047828095672075,,,,
92,2015-05-15,0.3947743223664792,1.0243518666909306,,,,
93,2015-05-18,0.3927997694949327,0.9847716185222046,,,,
94,2015-05-19,0.3927702306095866,0.9895176203970094,,,,
95,2015-05-20,0.3978782134298291,0.9807466358833904,,,,
96,2015-05-21,0.4012919214362505,0.9631331874314808,,,,
97,2015-05-22,0.4013289887121715,1.03911002303491,,,,
98,2015-05-26,0.4031997850713701,1.0629580896848787,,,,
99,2015-05-27,0.4008706060967157,1.0510670111006288,,,,
100,2015-05-28,0.374161353524454,0.8637971750983392,,,,
101,2015-05-29,0.3745433706090623,0.8016815422011824,,,,
102,2015-06-01,0.3679366892324597,0.6236903802291243,,,,
103,2015-06-02,0.367898325475026,0.5577550578410737,,,,
104,2015-06-03,0.3578064736369875,0.4895161798366671,,,,
