,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
910,2018-08-14,0.1648454323806794,0.3860673793834364,,,,
911,2018-08-15,0.165767091227244,0.4151183990794864,,,,
912,2018-08-16,0.1651610792692822,0.3574262022822301,,,,
913,2018-08-17,0.1737376667925968,0.4069467603823387,,,,
914,2018-08-20,0.1805392955814671,0.3636366724756111,,,,
915,2018-08-21,0.1771153248325245,0.2958647222236643,,,,
916,2018-08-22,0.1775453822090839,0.3544757130823564,,,,
917,2018-08-23,0.1752229845936958,0.2551462552599243,,,,
918,2018-08-24,0.1740154016119857,0.2000514083053698,,,,
919,2018-08-27,0.1739405028238916,0.1719156705553196,,,,
920,2018-08-28,0.173036868904203,0.2018942675729018,,,,
921,2018-08-29,0.1715170218975437,0.1869623369336633,,,,
922,2018-08-30,0.1701969879292305,0.2832958164703149,,,,
923,2018-08-31,0.1702376582231999,0.2888973694136974,,,,
924,2018-09-04,0.176235666314198,0.3598945265640132,,,,
925,2018-09-05,0.1690901336428127,0.4595706887083398,,,,
926,2018-09-06,0.1553418143734778,0.7718525798984236,,,,
927,2018-09-07,0.1370427838132685,0.6860093296559225,,,,
928,2018-09-10,0.1391282262275891,0.7444247393046637,,,,
929,2018-09-11,0.1418199502877252,0.7583020884265658,,,,
930,2018-09-12,0.1351180509867186,0.6354533473676983,,,,
931,2018-09-13,0.1354006249949529,0.6387524097358555,,,,
932,2018-09-14,0.1325754374210063,0.5670198568126016,,,,
933,2018-09-17,0.12781289063786,0.5421582531819383,,,,
934,2018-09-18,0.1273692087916582,0.5193305654151383,,,,
935,2018-09-19,0.1261820326265569,0.4958309221217992,,,,
936,2018-09-20,0.1285553753142623,0.558487741541418,,,,
937,2018-09-21,0.1284417193030532,0.524123030825071,,,,
938,2018-09-24,0.1342575246412513,0.6577855007456676,,,,
939,2018-09-25,0.1360011306448212,0.6773677013017785,,,,
940,2018-09-26,0.1351297327513088,0.6042427614073412,,,,
941,2018-09-27,0.1340311118750417,0.5876420411684861,,,,
942,2018-09-28,0.1445340238257496,0.6351314894715997,,,,
943,2018-10-01,0.1322522472498618,0.5000000865257453,,,,
944,2018-10-02,0.1235009324646584,0.5534411731497553,,,,
945,2018-10-03,0.1239380515584806,0.5888388457741016,,,,
946,2018-10-04,0.1247606974892545,0.6104715221788012,,,,
947,2018-10-05,0.1261519128312789,0.6433469458042068,,,,
948,2018-10-08,0.1269340806565397,0.7623254050142927,,,,
949,2018-10-09,0.1322408677424305,0.8843001621064923,,,,
950,2018-10-10,0.1354953756122889,0.4921450808873869,,,,
951,2018-10-11,0.1400762598697945,0.535556997821845,,,,
952,2018-10-12,0.142490098018833,0.5462755614391831,,,,
953,2018-10-15,0.142534594548565,0.545115831735141,,,,
954,2018-10-16,0.1463674931180781,0.6515223016745779,,,,
955,2018-10-17,0.1462337951575746,0.6508337318918077,,,,
956,2018-10-18,0.1490206690634598,0.6636614143676228,,,,
957,2018-10-19,0.1441634206698838,0.6607432639318342,,,,
958,2018-10-22,0.1538281583764154,0.6752893036820499,,,,
