Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/7/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/29/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
1/30/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/3/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/19/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/25/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
2/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/3/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/19/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/25/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/30/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
3/31/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/1/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/7/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/29/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
4/30/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/1/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/7/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/19/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
5/29/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/1/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/3/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/19/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/25/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/29/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
6/30/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/1/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/7/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/29/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/30/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
7/31/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/3/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/5/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/6/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/7/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/12/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/13/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/19/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/20/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/25/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/26/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/27/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
8/31/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/1/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/2/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/3/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/4/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/8/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/9/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/10/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/11/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/14/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/15/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/16/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/17/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/18/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/21/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/22/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/23/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/24/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/25/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
9/28/15,,,1.6,0.371165644,-0.096952909,0.00%,,,,,,7,,,
